Hotel Name,Location,Tarrif,Ratings,Number of reviews,Website
Comfort Inn & Suites High Point - Archdale,Archdale,$80,4.1/5,"(1,000 reviews)",https://www.expedia.com/Greensboro-Hotels-Comfort-Inn-Suites-High-Point-Archdale.h2381251.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730148&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&semdtl=&selectedRoomType=210043895&selectedRatePlan=220246440
Sheraton Greensboro at Four Seasons,Greensboro,$189,4.3/5,"(1,000 reviews)",https://www.expedia.com/Greensboro-Hotels-Sheraton-Greensboro-At-Four-Seasons.h25135.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730150&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=189&top_cur=USD&semdtl=&selectedRoomType=218729984&selectedRatePlan=278379343
Fairfield Inn & Suites by Marriott High Point/Archdale,Archdale,$114,4.4/5,(327 reviews),https://www.expedia.com/Greensboro-Hotels-Fairfield-Inn-Suites-By-Marriott-High-PointArchdale.h1048146.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730152&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=41832&selectedRatePlan=95330
"JH Adams Inn, Trademark Collection by Wyndham",High Point,$157,4.6/5,(497 reviews),https://www.expedia.com/Greensboro-Hotels-JH-Adams-Inn.h1836425.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730153&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=157&top_cur=USD&semdtl=&selectedRoomType=314011888&selectedRatePlan=380113259
Super 8 by Wyndham High Point/Greensboro,High Point,$71,4.2/5,(100 reviews),https://www.expedia.com/Greensboro-Hotels-Super-8-By-Wyndham-High-PointGreensboro.h61522.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730155&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=71&top_cur=USD&semdtl=&selectedRoomType=210602842&selectedRatePlan=224085123
Sleep Inn Airport,Greensboro,$71,4.0/5,(720 reviews),https://www.expedia.com/Greensboro-Hotels-Sleep-Inn-Airport.h663612.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730156&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=71&top_cur=USD&semdtl=&selectedRoomType=210607988&selectedRatePlan=224205191
Quality Inn & Suites Airpark East,Greensboro,$62,3.7/5,(593 reviews),https://www.expedia.com/Greensboro-Hotels-Quality-Inn-Suites-Airpark-East.h12733.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730158&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=62&top_cur=USD&semdtl=&selectedRoomType=211813583&selectedRatePlan=232298539
Extended Stay America - Greensboro - Airport,Greensboro,$67,3.6/5,(325 reviews),https://www.expedia.com/Greensboro-Hotels-Extended-Stay-America-Greensboro-Airport.h217336.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730159&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=67&top_cur=USD&semdtl=&selectedRoomType=211213183&selectedRatePlan=228252972
Microtel Inn by Wyndham Greensboro,Greensboro,$62,3.4/5,(750 reviews),https://www.expedia.com/Greensboro-Hotels-Microtel-Inn-By-Wyndham-Greensboro.h116561.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730161&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=62&top_cur=USD&semdtl=&selectedRoomType=201117884&selectedRatePlan=205273915
Four Points by Sheraton Greensboro Airport,Greensboro,$94,4.2/5,(386 reviews),https://www.expedia.com/Greensboro-Hotels-Four-Points-By-Sheraton-Greensboro-Airport.h41071.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730163&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=94&top_cur=USD&semdtl=&selectedRoomType=210603314&selectedRatePlan=224246843
Holiday Inn Express Greensboro-(I-40 @ Wendover),Greensboro,$107,4.3/5,(540 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Express-Greensboro.h8357.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730164&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=107&top_cur=USD&semdtl=&selectedRoomType=200350169&selectedRatePlan=380838715
